lga_code,2021 Local Government Area (LGA) Name,seifa_score,Decile,Score,Decile,Score,Decile,Score,Decile,Usual Resident Population
36630,South Burnett,907,2,885,2,945,3,888,2,32996
36660,Southern Downs,939,3,909,3,964,4,900,2,36290
36720,Sunshine Coast,1022,8,1001,8,1023,9,991,8,342541
36820,Tablelands,955,4,926,3,961,4,924,4,26244
36910,Toowoomba,979,6,959,6,983,6,959,7,173204
36950,Torres,904,2,939,4,824,1,981,8,3421
36960,Torres Strait Island,649,1,777,1,628,1,885,2,4124
37010,Townsville,990,6,966,7,981,5,962,7,192768
37300,Weipa,1058,10,1036,9,1011,8,944,6,4100
37310,Western Downs,946,3,922,3,969,4,912,3,33843
37340,Whitsunday,969,5,935,4,977,5,899,2,37152
37400,Winton,993,7,959,6,972,4,932,5,1129
37550,Woorabinda,492,1,659,1,513,1,816,1,1019
37570,Wujal Wujal,510,1,692,1,542,1,862,1,276
37600,Yarrabah,512,1,678,1,569,1,788,1,2505
40070,Adelaide,1002,7,1058,9,856,1,1137,10,25026
40120,Adelaide Hills,1081,10,1066,10,1083,10,1070,9,40879
40150,Adelaide Plains,988,6,943,5,1040,9,894,2,9835
40220,Alexandrina,988,6,949,5,1007,8,941,5,28730
40250,Anangu Pitjantjatjara Yunkunytjatjara,496,1,706,1,519,1,889,2,2333
40310,Barossa,1014,8,976,7,1025,9,955,6,25066
40430,Barunga West,950,3,932,4,966,4,947,6,2619
40520,Berri Barmera,907,2,887,2,929,2,882,2,10484
40700,Burnside,1083,10,1102,10,1050,10,1131,10,46030
40910,Campbelltown (SA),1021,8,1012,9,990,6,1030,9,54800
41010,Ceduna,943,3,927,4,928,2,926,4,3505
41060,Charles Sturt,1001,7,993,8,969,4,1005,8,121840
41140,Clare and Gilbert Valleys,998,7,963,6,994,7,960,7,9187
41190,Cleve,989,6,952,6,988,6,949,6,1742
41330,Coober Pedy,868,1,868,1,832,1,868,1,1566
41560,Copper Coast,924,2,892,2,950,3,873,1,15050
41750,Elliston,959,4,952,5,962,4,988,8,1014
41830,Flinders Ranges,933,3,907,2,944,3,902,3,1646
41960,Franklin Harbour,959,4,923,3,970,4,906,3,1293
42030,Gawler,960,4,931,4,968,4,926,4,24988
42110,Goyder,947,3,914,3,957,3,919,4,4060
42250,Grant,1026,8,974,7,1055,10,927,4,8636
42600,Holdfast Bay,1047,9,1044,9,999,7,1062,9,37543
42750,Kangaroo Island,991,7,952,6,982,5,945,6,4894
43080,Karoonda East Murray,956,4,930,4,975,5,946,6,1007
43220,Kimba,1020,8,985,8,1007,8,986,8,1037
43360,Kingston (SA),977,5,942,5,987,6,910,3,2326
43650,Light,1027,9,981,7,1055,10,949,6,15792
43710,Lower Eyre Peninsula,1033,9,982,8,1037,9,953,6,5910
43790,Loxton Waikerie,958,4,925,3,967,4,911,3,11666
44000,Maralinga Tjarutja,644,1,823,1,641,1,1043,9,96
44060,Marion,1008,8,994,8,974,5,1013,9,94721
44210,Mid Murray,914,2,882,2,952,3,874,1,9164
44340,Mitcham,1075,10,1073,10,1050,10,1094,10,67617
44550,Mount Barker,1037,9,1004,8,1038,9,1002,8,39217
44620,Mount Gambier,924,2,893,2,928,2,883,2,26878
44830,Mount Remarkable,974,5,950,5,990,6,958,7,2862
45040,Murray Bridge,891,2,866,1,923,2,853,1,21644
45090,Naracoorte Lucindale,978,5,949,5,986,6,929,5,8686
45120,Northern Areas,979,6,948,5,975,5,957,6,4559
45290,Norwood Payneham and St Peters,1038,9,1052,9,974,5,1090,10,37487
45340,Onkaparinga,987,6,951,5,991,6,945,6,175204
45400,Orroroo Carrieton,1006,8,980,7,1000,7,986,8,874
45540,Peterborough,773,1,783,1,853,1,825,1,1638
45680,Playford,852,1,850,1,911,2,852,1,99190
45890,Port Adelaide Enfield,953,4,953,6,937,2,978,8,132400
46090,Port Augusta,889,2,877,1,892,2,870,1,13829
46300,Port Lincoln,948,3,915,3,936,2,900,3,14404
46450,Port Pirie,889,2,868,1,902,2,866,1,17282
46510,Prospect,1054,10,1058,9,1000,7,1085,10,22272
46670,Renmark Paringa,923,2,899,2,949,3,879,1,9783
46860,Robe,1023,8,984,8,1006,8,965,7,1542
46970,Roxby Downs,1048,9,1004,8,1010,8,919,4,3976
47140,Salisbury,904,2,898,2,945,3,902,3,145806
47290,Southern Mallee,997,7,962,6,985,6,944,6,1979
47490,Streaky Bay,1000,7,960,6,977,5,945,6,2165
47630,Tatiara,982,6,950,5,1004,8,926,4,6891
47700,Tea Tree Gully,1030,9,996,8,1016,8,985,8,101174
47800,Coorong,939,3,911,3,956,3,910,3,5463
47910,Tumby Bay,993,7,954,6,979,5,955,6,2817
47980,Unley,1067,10,1084,10,1014,8,1119,10,38641
48050,Victor Harbor,962,4,927,3,970,4,925,4,16139
48130,Wakefield,921,2,897,2,957,3,892,2,6780
48260,Walkerville,1075,10,1097,10,1035,9,1123,10,8023
48340,Wattle Range,942,3,906,2,963,4,892,2,11888
48410,West Torrens,1015,8,1010,9,960,3,1029,9,61699
48540,Whyalla,883,1,868,1,879,1,865,1,21244
48640,Wudinna,1009,8,972,7,987,6,959,7,1136
48750,Yankalilla,978,5,942,5,991,6,938,5,5834
48830,Yorke Peninsula,952,4,918,3,961,4,910,3,11598
49399,Unincorporated SA,905,2,904,2,865,1,895,2,3006
50080,Albany,987,6,955,6,997,7,941,5,38763
50210,Armadale,990,6,971,7,1025,9,947,6,94184
50250,Ashburton,1024,8,979,7,973,5,902,3,7391
50280,Augusta Margaret River,1031,9,999,8,1036,9,993,8,16791
50350,Bassendean,1015,8,1005,8,994,7,1015,9,15932
50420,Bayswater,1018,8,1017,9,994,7,1028,9,69283
50490,Belmont,987,6,985,8,953,3,995,8,42257
50560,Beverley,956,4,932,4,986,6,927,4,1694
50630,Boddington,976,5,944,5,1011,8,894,2,1705
50770,Boyup Brook,995,7,969,7,1006,8,972,7,1834
50840,Bridgetown-Greenbushes,1000,7,962,6,1018,8,945,6,5238
50910,Brookton,944,3,919,3,984,6,894,2,929
50980,Broome,962,4,983,8,934,2,985,8,16959
51080,Broomehill-Tambellup,961,4,961,6,1000,7,988,8,1046
51120,Bruce Rock,979,6,958,6,989,6,952,6,979
51190,Bunbury,944,3,921,3,951,3,907,3,32987
51260,Busselton,1019,8,985,8,1038,9,958,7,40640
51310,Cambridge,1113,10,1153,10,1107,10,1160,10,28876
51330,Canning,1023,8,1024,9,1011,8,1033,9,95860
51400,Capel,1016,8,982,8,1051,10,948,6,18175
51470,Carnamah,965,5,937,4,958,3,924,4,552
51540,Carnarvon,926,2,918,3,913,2,908,3,5251
51610,Chapman Valley,1027,9,999,8,1057,10,959,7,1556
51680,Chittering,1030,9,1003,8,1100,10,947,6,5930
51710,Christmas Island,971,5,972,7,943,2,957,7,1692
51750,Claremont,1081,10,1124,10,1043,10,1157,10,11284
51820,Cockburn,1033,9,1020,9,1042,10,1002,8,118091
51860,Cocos Islands,850,1,903,2,980,5,896,2,593
51890,Collie,908,2,872,1,958,3,824,1,8812
51960,Coolgardie,897,2,874,1,923,2,829,1,3478
52030,Coorow,978,5,940,4,1001,7,916,3,1055
52100,Corrigin,1023,8,982,8,1025,9,971,7,1007
52170,Cottesloe,1112,10,1157,10,1086,10,1175,10,7970
52240,Cranbrook,964,4,951,5,987,6,965,7,1100
52310,Cuballing,972,5,946,5,1002,7,923,4,902
52380,Cue,898,2,887,2,895,2,920,4,215
52450,Cunderdin,1008,8,964,6,990,6,939,5,1302
52520,Dalwallinu,1056,10,1024,9,1039,9,1011,9,1379
52590,Dandaragan,995,7,961,6,1014,8,925,4,3355
52660,Dardanup,1006,8,961,6,1040,9,906,3,14686
52730,Denmark,1003,7,981,7,1003,7,1014,9,6310
52800,Derby-West Kimberley,734,1,818,1,731,1,899,2,7075
52870,Donnybrook-Balingup,987,6,961,6,1025,9,934,5,6155
52940,Dowerin,983,6,970,7,977,5,992,8,715
53010,Dumbleyung,1009,8,989,8,1014,8,1007,9,681
53080,Dundas,855,1,851,1,872,1,850,1,677
53150,East Fremantle,1082,10,1109,10,1066,10,1123,10,7819
53220,East Pilbara,939,3,946,5,893,2,929,5,9760
53290,Esperance,995,7,960,6,1002,7,926,4,13883
53360,Exmouth,1038,9,1002,8,997,7,946,6,3085
53430,Fremantle,1031,9,1054,9,991,7,1093,10,31930
53570,Gingin,975,5,947,5,1018,8,910,3,5576
53640,Gnowangerup,996,7,973,7,1004,8,974,7,1215
53710,Goomalling,998,7,959,6,997,7,940,5,955
53780,Gosnells,975,5,962,6,1010,8,944,6,126376
53800,Greater Geraldton,965,5,941,4,984,6,917,4,39489
53920,Halls Creek,540,1,702,1,572,1,836,1,3574
53990,Harvey,998,7,960,6,1042,10,907,3,28567
54060,Irwin,966,5,931,4,984,6,898,2,3680
54130,Jerramungup,1025,8,996,8,1020,9,995,8,1160
54170,Joondalup,1072,10,1061,9,1085,10,1038,9,160003
54200,Kalamunda,1034,9,1009,9,1053,10,977,8,58762
54280,Kalgoorlie-Boulder,1008,8,980,7,1010,8,920,4,29306
54310,Karratha,1052,10,1035,9,1019,9,956,6,22199
54340,Katanning,907,2,898,2,943,3,876,1,4057
54410,Kellerberrin,920,2,899,2,941,2,900,2,1138
54480,Kent,1072,10,1034,9,1041,10,1019,9,491
54550,Kojonup,997,7,979,7,999,7,983,8,1901
54620,Kondinin,978,5,959,6,993,7,958,7,847
54690,Koorda,980,6,946,5,983,6,901,3,361
54760,Kulin,1045,9,1024,9,1047,10,1023,9,769
54830,Kwinana,971,5,949,5,1003,7,925,4,45867
54900,Lake Grace,1051,9,1022,9,1040,9,1013,9,1265
54970,Laverton,751,1,813,1,738,1,904,3,1333
55040,Leonora,948,3,924,3,922,2,879,1,1588
55110,Mandurah,959,4,936,4,998,7,912,3,90306
55180,Manjimup,959,4,928,4,982,5,908,3,9093
55250,Meekatharra,848,1,871,1,831,1,896,2,1200
55320,Melville,1070,10,1081,10,1058,10,1086,10,103523
55390,Menzies,860,1,858,1,825,1,870,1,524
55460,Merredin,971,5,937,4,971,4,914,3,3119
55530,Mingenew,1007,8,970,7,1028,9,943,6,407
55600,Moora,959,4,935,4,975,5,918,4,2292
55670,Morawa,943,3,929,4,945,3,932,5,660
55740,Mosman Park,1061,10,1107,10,1047,10,1135,10,9169
55810,Mount Magnet,864,1,858,1,890,2,898,2,653
55880,Mount Marshall,980,6,973,7,986,6,990,8,459
55950,Mukinbudin,1025,8,996,8,1023,9,990,8,579
56090,Mundaring,1042,9,1020,9,1072,10,992,8,39166
56160,Murchison,834,1,885,2,832,1,1013,9,101
56230,Murray,962,4,931,4,1026,9,884,2,18068
56300,Nannup,978,5,955,6,988,6,952,6,1538
56370,Narembeen,1028,9,997,8,1035,9,969,7,787
56460,Narrogin,964,4,942,5,955,3,927,4,4779
56580,Nedlands,1115,10,1159,10,1108,10,1176,10,22132
56620,Ngaanyatjarraku,509,1,717,1,541,1,885,2,1358
56730,Northam,938,3,914,3,974,5,892,2,11358
56790,Northampton,954,4,923,3,983,6,892,2,3227
56860,Nungarin,979,6,960,6,979,5,961,7,255
56930,Peppermint Grove,1111,10,1161,10,1120,10,1161,10,1597
57000,Perenjori,1044,9,1023,9,1023,9,1031,9,629
57080,Perth,1040,9,1081,10,901,2,1128,10,28463
57140,Pingelly,907,2,900,2,931,2,917,4,1037
57210,Plantagenet,949,3,929,4,989,6,935,5,5388
57280,Port Hedland,1011,8,997,8,972,5,933,5,15684
57350,Quairading,964,4,941,4,981,5,939,5,961
57420,Ravensthorpe,1002,7,970,7,983,6,949,6,2085
57490,Rockingham,989,6,962,6,1025,9,929,4,135678
57630,Sandstone,954,4,906,2,960,3,870,1,109
57700,Serpentine-Jarrahdale,1028,9,995,8,1090,10,935,5,32173
57770,Shark Bay,970,5,942,5,935,2,915,3,1031
57840,South Perth,1066,10,1086,10,1015,8,1114,10,43405
57910,Stirling,1027,9,1035,9,1005,8,1048,9,226369
57980,Subiaco,1079,10,1119,10,1009,8,1167,10,17267
58050,Swan,995,7,974,7,1033,9,944,6,152974
58190,Tammin,959,4,942,5,974,5,948,6,386
58260,Three Springs,963,4,947,5,964,4,955,6,575
58330,Toodyay,986,6,952,5,1018,8,931,5,4601
58400,Trayning,909,2,896,2,920,2,952,6,298
58470,Upper Gascoyne,910,2,920,3,805,1,960,7,170
58510,Victoria Park,1030,9,1042,9,965,4,1071,9,36889
58540,Victoria Plains,1028,9,1004,8,1031,9,978,8,802
58570,Vincent,1068,10,1097,10,1000,7,1126,10,36537
58610,Wagin,947,3,921,3,970,4,906,3,1761
58680,Wandering,1004,7,982,8,1038,9,962,7,535
58760,Wanneroo,1005,8,988,8,1048,10,961,7,209111
58820,Waroona,936,3,908,2,999,7,860,1,4234
58890,West Arthur,1028,9,1007,8,1017,8,1008,9,773
59030,Westonia,1030,9,1004,8,984,6,997,8,248
59100,Wickepin,994,7,967,7,1009,8,959,7,690
59170,Williams,1030,9,1008,9,1039,9,1006,9,1021
59250,Wiluna,773,1,821,1,741,1,954,6,535
59310,Wongan-Ballidu,963,4,936,4,971,4,936,5,1297
59320,Woodanilling,1003,7,982,8,994,7,1015,9,448
59330,Wyalkatchem,899,2,898,2,902,2,942,5,470
59340,Wyndham-East Kimberley,899,2,934,4,860,1,965,7,7477
59350,Yalgoo,900,2,870,1,870,1,853,1,340
59360,Yilgarn,973,5,955,6,965,4,916,4,1173
59370,York,968,5,938,4,980,5,934,5,3459
60210,Break O'Day,911,2,881,2,930,2,896,2,6770
60410,Brighton,885,1,862,1,924,2,849,1,18995
60610,Burnie,920,2,895,2,924,2,890,2,19918
60810,Central Coast (Tas.),958,4,923,3,969,4,914,3,22760
61010,Central Highlands (Tas.),911,2,888,2,948,3,886,2,2520
61210,Circular Head,943,3,908,2,966,4,884,2,8117
61410,Clarence,1009,8,989,8,992,7,992,8,61531
61510,Derwent Valley,913,2,879,2,950,3,856,1,10942
61610,Devonport,906,2,883,2,920,2,884,2,26150
61810,Dorset,932,3,900,2,957,3,887,2,6829
62010,Flinders (Tas.),963,4,947,5,941,2,968,7,922
62210,George Town,860,1,846,1,906,2,846,1,7033
62410,Glamorgan-Spring Bay,950,4,924,3,962,4,920,4,5012
62610,Glenorchy,927,2,911,3,914,2,918,4,50411
62810,Hobart,1046,9,1062,10,970,4,1104,10,55077
63010,Huon Valley,974,5,946,5,985,6,958,7,18259
63210,Kentish,953,4,918,3,986,6,898,2,6603
63410,King Island,993,7,955,6,987,6,941,5,1617
63610,Kingborough,1038,9,1020,9,1013,8,1039,9,40082
63810,Latrobe (Tas.),974,5,928,4,982,5,905,3,12420
64010,Launceston,939,3,926,3,929,2,941,5,70055
64210,Meander Valley,976,5,940,4,983,6,924,4,20709
64610,Northern Midlands,966,5,929,4,975,5,912,3,13745
64810,Sorell,991,6,946,5,993,7,932,5,16734
65010,Southern Midlands,951,4,911,3,1000,7,887,2,6662
65210,Tasman,923,2,902,2,943,3,931,5,2593
65410,Waratah-Wynyard,929,2,900,2,947,3,896,2,14300
65610,West Coast,861,1,844,1,887,2,832,1,4263
65810,West Tamar,1004,7,970,7,999,7,970,7,25145
70200,Alice Springs,994,7,1004,8,955,3,1014,9,25912
70420,Barkly,670,1,790,1,698,1,887,2,6316
70540,Belyuen,471,1,662,1,475,1,801,1,149
70620,Central Desert,524,1,697,1,589,1,865,1,3591
70700,Coomalie,909,2,900,2,906,2,916,3,1276
71000,Darwin,1027,9,1036,9,979,5,1041,9,80530
71150,Darwin Waterfront Precinct,1117,10,1165,10,960,4,1174,10,293
71300,East Arnhem,486,1,694,1,525,1,866,1,8778
72200,Katherine,961,4,965,7,925,2,976,8,9643
72300,Litchfield,1030,9,1014,9,1061,10,959,7,21411
72330,MacDonnell,566,1,727,1,590,1,861,1,5748
72800,Palmerston,1009,8,998,8,991,6,972,7,37247
73600,Roper Gulf,534,1,709,1,564,1,867,1,6486
74050,Tiwi Islands,564,1,729,1,540,1,860,1,2348
74550,Victoria Daly,590,1,729,1,618,1,833,1,2815
74560,Wagait,985,6,970,7,955,3,1006,9,423
74660,West Arnhem,530,1,728,1,534,1,881,1,6281
74680,West Daly,439,1,677,1,488,1,899,2,2973
79399,Unincorporated NT,1044,9,1014,9,967,4,984,8,6802
89399,Unincorporated ACT,1071,10,1091,10,1037,9,1108,10,453890
99399,Unincorp. Other Territories,989,6,952,5,952,3,961,7,2494
,,,,,,,,,,
,,,,,,,,,,
© Commonwealth of Australia 2023,,,,,,,,,,